COUNTY,pop2020,pop2021,pop2022
ATLANTIC,274172,275130,275638
BERGEN,953617,954879,952997
BURLINGTON,461648,464411,466103
CAMDEN,523074,524124,524907
CAPE MAY,95040,95768,95634
CUMBERLAND,153692,152089,151356
ESSEX,859924,854121,849477
GLOUCESTER,302554,304620,306601
HUDSON,721832,703447,703366
HUNTERDON,128786,129668,129777
MERCER,386441,382116,380688
MIDDLESEX,861314,862328,861418
MONMOUTH,642771,646392,644098
MORRIS,508384,510444,511151
OCEAN,638422,649741,655735
PASSAIC,523406,518345,513936
SALEM,64842,65058,65117
SOMERSET,344725,346331,346875
SUSSEX,143915,145645,146084
UNION,573617,572810,569815
WARREN,109513,110494,110926
